product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,user_id,user_name,review_id,review_title,review_content,img_link,product_link
P001,Bread,Personal Care,89.23,127.47,30,1.2,892,This is a bread from the Personal Care category.,U648,Charlie,R001,Would not recommend,Terrible experience.,https://example.com/images/P001.jpg,https://blinkit.com/product/P001
P002,Tomato,Personal Care,195.24,244.05,20,2.6,73,This is a tomato from the Personal Care category.,U473,Ivy,R002,Fantastic,Really enjoyed this product.,https://example.com/images/P002.jpg,https://blinkit.com/product/P002
P003,Orange Juice,Fruits & Vegetables,112.92,150.56,25,2.7,364,This is a orange juice from the Fruits & Vegetables category.,U634,Frank,R003,Excellent,It's fine for the price.,https://example.com/images/P003.jpg,https://blinkit.com/product/P003
P004,Coke,Fruits & Vegetables,335.52,372.8,10,1.9,977,This is a coke from the Fruits & Vegetables category.,U583,Hannah,R004,Superb,It's fine for the price.,https://example.com/images/P004.jpg,https://blinkit.com/product/P004
P005,Coke,Beverages,212.24,223.41,5,3.1,560,This is a coke from the Beverages category.,U510,David,R005,Great product,One of the best I've used.,https://example.com/images/P005.jpg,https://blinkit.com/product/P005
P006,Orange Juice,Dairy,148.98,186.23,20,4.0,349,This is a orange juice from the Dairy category.,U743,Ivy,R006,Mediocre,Disappointed with the quality.,https://example.com/images/P006.jpg,https://blinkit.com/product/P006
P007,Milk,Fruits & Vegetables,178.97,198.85,10,2.1,203,This is a milk from the Fruits & Vegetables category.,U438,Bob,R007,Just okay,Could be better.,https://example.com/images/P007.jpg,https://blinkit.com/product/P007
P008,Coke,Personal Care,242.77,346.82,30,3.9,263,This is a coke from the Personal Care category.,U135,Alice,R008,Mediocre,Could be better.,https://example.com/images/P008.jpg,https://blinkit.com/product/P008
P009,Potato Chips,Personal Care,148.07,164.52,10,2.8,503,This is a potato chips from the Personal Care category.,U532,Alice,R009,Would not recommend,It's fine for the price.,https://example.com/images/P009.jpg,https://blinkit.com/product/P009
P010,Biscuits,Personal Care,214.2,252.0,15,2.8,809,This is a biscuits from the Personal Care category.,U734,Hannah,R010,Mediocre,Exceeded my expectations.,https://example.com/images/P010.jpg,https://blinkit.com/product/P010
P011,Shampoo,Personal Care,177.34,221.67,20,4.6,207,This is a shampoo from the Personal Care category.,U246,Eve,R011,Would not recommend,Terrible experience.,https://example.com/images/P011.jpg,https://blinkit.com/product/P011
P012,Potato Chips,Personal Care,132.84,189.77,30,4.5,276,This is a potato chips from the Personal Care category.,U619,Eve,R012,Superb,One of the best I've used.,https://example.com/images/P012.jpg,https://blinkit.com/product/P012
P013,Potato Chips,Dairy,146.29,153.99,5,2.6,751,This is a potato chips from the Dairy category.,U922,Ivy,R013,Excellent,Exceeded my expectations.,https://example.com/images/P013.jpg,https://blinkit.com/product/P013
